left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The delivery truck zoomed by the school bus because,it,was going so fast.,"the delivery truck,the school bus",0,"How does the sentence end?

The train conductor admonished the man standing in the doorway because 

OPTIONS: 
-  The train conductor was not following the rules. 
-  the man standing in the doorway was not following the rules.
Output: the man standing in the doorway was not following the rules.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Anna tucked Olivia into bed because 

OPTIONS: 
-  Anna was caring. 
-  Olivia was caring.
Output: Anna was caring.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Sarah went to Kelly's house because 

OPTIONS: 
-  Sarah was home. 
-  Kelly was home.
Output: Kelly was home.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The delivery truck zoomed by the school bus because

 OPTIONS: 
- the delivery truck was going so fast.
 - the school bus was going so fast.

Output: ",the school bus was going so fast,the delivery truck was going so fast,False,3
The delivery truck zoomed by the school bus because,it,was going so slow.,"the delivery truck,the school bus",1,"How does the sentence end?

Lions eat zebras because 

OPTIONS: 
-  Lions are predators. 
-  zebras are predators.
Output: Lions are predators.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

David hit Bill because Mary asked 

OPTIONS: 
-  David to. 
-  Bill to.
Output: David to.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

John ridiculed Bill because 

OPTIONS: 
-  John liked to look down upon others. 
-  Bill liked to look down upon others.
Output: John liked to look down upon others.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The delivery truck zoomed by the school bus because

 OPTIONS: 
- the delivery truck was going so slow.
 - the school bus was going so slow.

Output: ",the school bus was going so slow,the school bus was going so slow,True,3
Frank felt vindicated when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",0,"How does the sentence end?

Robert fired Chris because 

OPTIONS: 
-  Robert no longer needed workers. 
-  Chris no longer needed workers.
Output: Robert no longer needed workers.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The listener did not complain about the singer because 

OPTIONS: 
-  The listener was autotuned. 
-  the singer was autotuned.
Output: the singer was autotuned.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The counselor gave the student advice because 

OPTIONS: 
-  The counselor feels obligated to help him. 
-  the student feels obligated to help him.
Output: The counselor feels obligated to help him.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Frank felt vindicated when his longtime rival Bill revealed that

 OPTIONS: 
- Frank was the winner of the competition.
 - Bill was the winner of the competition.

Output: ",bill was the winner of the competition,frank was the winner of the competition,False,3
Frank felt crushed when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",1,"How does the sentence end?

The jurors deliberated on the defendants' fate for hours, but 

OPTIONS: 
-  The jurors did not reach a verdict. 
-  the defendants did not reach a verdict.
Output: The jurors did not reach a verdict.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The cap fell off the bottle because 

OPTIONS: 
-  The cap was pressurized. 
-  the bottle was pressurized.
Output: the bottle was pressurized.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The food in the refrigerator went bad because 

OPTIONS: 
-  The food was past the expiration date. 
-  the refrigerator was past the expiration date.
Output: The food was past the expiration date.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Frank felt crushed when his longtime rival Bill revealed that

 OPTIONS: 
- Frank was the winner of the competition.
 - Bill was the winner of the competition.

Output: ",bill was the winner of the competition,bill was the winner of the competition,True,3
The man couldn't lift his son because,he,was so weak.,"The man,The son",0,"How does the sentence end?

Keith fired Blaine but 

OPTIONS: 
-  Keith did not regret. 
-  Blaine did not regret.
Output: Keith did not regret.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Sherry called Karla but 

OPTIONS: 
-  Sherry later regretted it. 
-  Karla later regretted it.
Output: Sherry later regretted it.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The school denied parents parking permits because 

OPTIONS: 
-  The school violated parking rules. 
-  parents violated parking rules.
Output: parents violated parking rules.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The man couldn't lift his son because

 OPTIONS: 
- The man was so weak.
 - The son was so weak.

Output: ",the son was so weak,the man was so weak,False,3
The man couldn't lift his son because,he,was so heavy.,"The man,The son",1,"How does the sentence end?

Video games are outselling movies because 

OPTIONS: 
-  Video games are fun to play. 
-  movies are fun to play.
Output: Video games are fun to play.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Google bought Motorola because 

OPTIONS: 
-  Google were bankrupt. 
-  Motorola were bankrupt.
Output: Motorola were bankrupt.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Jack pushed Tim down the stairs and 

OPTIONS: 
-  Jack slipped to the ground. 
-  Tim slipped to the ground.
Output: Tim slipped to the ground.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The man couldn't lift his son because

 OPTIONS: 
- The man was so heavy.
 - The son was so heavy.

Output: ",the son was so heavy,the son was so heavy,True,3
The large ball crashed right through the table because,it,was made of steel.,"The large ball,The table",0,"How does the sentence end?

Kevin stared at Michael and 

OPTIONS: 
-  Kevin got angry. 
-  Michael got angry.
Output: Michael got angry.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Firefox is used more than Internet Explorer because 

OPTIONS: 
-  Firefox is less stable. 
-  Internet Explorer is less stable.
Output: Internet Explorer is less stable.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Godzilla will stomp all over Tokyo if 

OPTIONS: 
-  Godzilla rises from the ocean. 
-  Tokyo rises from the ocean.
Output: Godzilla rises from the ocean.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The large ball crashed right through the table because

 OPTIONS: 
- The large ball was made of steel.
 - The table was made of steel.

Output: ",the large ball was made of steel,the large ball was made of steel,True,3
The large ball crashed right through the table because,it,was made of styrofoam.,"The large ball,The table",1,"How does the sentence end?

The environmentalists were angry at the corporation because 

OPTIONS: 
-  The environmentalists saw them polluting the creek. 
-  the corporation saw them polluting the creek.
Output: The environmentalists saw them polluting the creek.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Fred drove to Mack's tire shop, and 

OPTIONS: 
-  Fred sold a tire. 
-  Mack sold a tire.
Output: Mack sold a tire.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

John bought a beer for Bill because 

OPTIONS: 
-  John likes cool guys. 
-  Bill likes cool guys.
Output: John likes cool guys.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The large ball crashed right through the table because

 OPTIONS: 
- The large ball was made of styrofoam.
 - The table was made of styrofoam.

Output: ",the large ball was made of styrofoam,the table was made of styrofoam,False,3
John couldn't see the stage with Billy in front of him because,he,is so short.,"John,Billy",0,"How does the sentence end?

Katy cried for Susan since 

OPTIONS: 
-  Katy was sad. 
-  Susan was sad.
Output: Katy was sad.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Rocky won the match with Richard because 

OPTIONS: 
-  Rocky had no energy. 
-  Richard had no energy.
Output: Richard had no energy.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Jack raced past Dan since 

OPTIONS: 
-  Jack car is much faster. 
-  Dan car is much faster.
Output: Jack car is much faster.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

John couldn't see the stage with Billy in front of him because

 OPTIONS: 
- John is so short.
 - Billy is so short.

Output: ",billy is so short,john is so short,False,3
John couldn't see the stage with Billy in front of him because,he,is so tall.,"John,Billy",1,"How does the sentence end?

The boy tried to address his friend, but 

OPTIONS: 
-  The boy could not hear. 
-  his friend could not hear.
Output: his friend could not hear.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Joy was jealous of Jenny because 

OPTIONS: 
-  Joy was making less money than her. 
-  Jenny was making less money than her.
Output: Joy was making less money than her.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The police arrested the rioters because 

OPTIONS: 
-  The police were preventing trouble. 
-  the rioters were preventing trouble.
Output: The police were preventing trouble.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

John couldn't see the stage with Billy in front of him because

 OPTIONS: 
- John is so tall.
 - Billy is so tall.

Output: ",billy is so tall,billy is so tall,True,3
Tom threw his schoolbag down to Ray after,he,reached the top of the stairs.,"Tom,Ray",0,"How does the sentence end?

Jimbo was running from Bobbert because 

OPTIONS: 
-  Jimbo wanted to get to the car first. 
-  Bobbert wanted to get to the car first.
Output: Jimbo wanted to get to the car first.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The striker scored on the goalie because 

OPTIONS: 
-  The striker outran the defenders. 
-  the goalie outran the defenders.
Output: The striker outran the defenders.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Michael asked Jacob to dance because 

OPTIONS: 
-  Michael was lonely. 
-  Jacob was lonely.
Output: Jacob was lonely.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Tom threw his schoolbag down to Ray after

 OPTIONS: 
- Tom reached the top of the stairs.
 - Ray reached the top of the stairs.

Output: ",ray reached the top of the stairs,tom reached the top of the stairs,False,3
Tom threw his schoolbag down to Ray after,he,reached the bottom of the stairs.,"Tom,Ray",1,"How does the sentence end?

The bird perched on the limb and 

OPTIONS: 
-  The bird sang. 
-  the limb sang.
Output: The bird sang.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Sam cheated Sally but 

OPTIONS: 
-  Sally did not repent. 
-  Sam did not repent.
Output: Sam did not repent.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

John bought a beer for Bill because 

OPTIONS: 
-  John is cool. 
-  Bill is cool.
Output: Bill is cool.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Tom threw his schoolbag down to Ray after

 OPTIONS: 
- Tom reached the bottom of the stairs.
 - Ray reached the bottom of the stairs.

Output: ",ray reached the bottom of the stairs,ray reached the bottom of the stairs,True,3
"Although they ran at about the same speed, Sue beat Sally because",she,had such a good start.,"Sue,Sally",0,"How does the sentence end?

The doctor told Susan that 

OPTIONS: 
-  The doctor had been busy. 
-  Susan had been busy.
Output: The doctor had been busy.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Kurt flew in Alex's plane, and 

OPTIONS: 
-  Kurt asked him to come again. 
-  Alex asked him to come again.
Output: Alex asked him to come again.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The environmentalists were angry at the corporation because 

OPTIONS: 
-  The environmentalists had ignored their proposal. 
-  the corporation had ignored their proposal.
Output: the corporation had ignored their proposal.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Although they ran at about the same speed, Sue beat Sally because

 OPTIONS: 
- Sue had such a good start.
 - Sally had such a good start.

Output: ",sue had such a good start,sue had such a good start,True,3
"Although they ran at about the same speed, Sue beat Sally because",she,had such a bad start.,"Sue,Sally",1,"How does the sentence end?

The company accepted the resolution because 

OPTIONS: 
-  The company was well
- written. 
Output: the resolution was well-written.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Henry changed Jack's oil, because 

OPTIONS: 
-  Henry gave him money. 
-  Jack gave him money.
Output: Jack gave him money.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Gartok defeated Grognak because 

OPTIONS: 
-  Gartok was puny and weak. 
-  Grognak was puny and weak.
Output: Grognak was puny and weak.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Although they ran at about the same speed, Sue beat Sally because

 OPTIONS: 
- Sue had such a bad start.
 - Sally had such a bad start.

Output: ",sue had such a bad start,sally had such a bad start,False,3
The sculpture rolled off the shelf because,it,wasn't anchored.,"The sculpture,The shelf",0,"How does the sentence end?

When Debbie splashed Tina, 

OPTIONS: 
-  Debbie got in trouble. 
-  Tina got in trouble.
Output: Debbie got in trouble.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Firefox is used more than Internet Explorer because 

OPTIONS: 
-  Firefox is more stable. 
-  Internet Explorer is more stable.
Output: Firefox is more stable.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Gartok defeated Grognak because 

OPTIONS: 
-  Gartok was puny and weak. 
-  Grognak was puny and weak.
Output: Grognak was puny and weak.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The sculpture rolled off the shelf because

 OPTIONS: 
- The sculpture wasn't anchored.
 - The shelf wasn't anchored.

Output: ",the shelf wasnt anchored,the sculpture wasnt anchored,False,3
The sculpture rolled off the shelf because,it,wasn't level.,"The sculpture,The shelf",1,"How does the sentence end?

The car hop brought the man his tray, but 

OPTIONS: 
-  The car hop forgot his french fries. 
-  the man forgot his french fries.
Output: The car hop forgot his french fries.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

James always gives orders to Owen because 

OPTIONS: 
-  James is very obedient. 
-  Owen is very obedient.
Output: Owen is very obedient.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The computer rejected the password because 

OPTIONS: 
-  The computer was incorrect. 
-  the password was incorrect.
Output: the password was incorrect.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The sculpture rolled off the shelf because

 OPTIONS: 
- The sculpture wasn't level.
 - The shelf wasn't level.

Output: ",the shelf wasnt level,the shelf wasnt level,True,3
Sam's drawing was hung just above Tina's and,it,did look much better with another one below it.,"Sam's drawing,Tina's drawing",0,"How does the sentence end?

The chef made breakfast for the captain because 

OPTIONS: 
-  The chef required food. 
-  the captain required food.
Output: the captain required food.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Jim went to Hal's house, and walked 

OPTIONS: 
-  Jim dog. 
-  Hal dog.
Output: Hal dog.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Mike tried to follow Tom but 

OPTIONS: 
-  Mike could not keep up. 
-  Tom could not keep up.
Output: Mike could not keep up.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Sam's drawing was hung just above Tina's and

 OPTIONS: 
- Sam's drawing did look much better with another one below it.
 - Tina's drawing did look much better with another one below it.

Output: ",tinas drawing did look much better with another one below it,sams drawing did look much better with another one below it,False,3
Sam's drawing was hung just above Tina's and,it,did look much better with another one above it.,"Sam's drawing,Tina's drawing",1,"How does the sentence end?

He put snow on the smiley face because 

OPTIONS: 
-  snow was dry. 
-  the smiley face was dry.
Output: the smiley face was dry.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Allen chased the leprechaun because 

OPTIONS: 
-  Allen wanted a pot of gold. 
-  the leprechaun wanted a pot of gold.
Output: Allen wanted a pot of gold.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Management gave the workers a raise because 

OPTIONS: 
-  Management had threatened to strike. 
-  the workers had threatened to strike.
Output: the workers had threatened to strike.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Sam's drawing was hung just above Tina's and

 OPTIONS: 
- Sam's drawing did look much better with another one above it.
 - Tina's drawing did look much better with another one above it.

Output: ",tinas drawing did look much better with another one above it,tinas drawing did look much better with another one above it,True,3
Anna did a lot better than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",0,"How does the sentence end?

The coach criticized the player because 

OPTIONS: 
-  The coach explicitly told everyone not to break the team's formation. 
-  the player explicitly told everyone not to break the team's formation.
Output: The coach explicitly told everyone not to break the team's formation.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

The company accepted the resolution because 

OPTIONS: 
-  The company was well
- written. 
Output: the resolution was well-written.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Bob cooked omelets for Jack, because 

OPTIONS: 
-  Bob was hungry. 
-  Jack was hungry.
Output: Jack was hungry.
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.
=======================================
How does the sentence end?

Anna did a lot better than her good friend Lucy on the test because

 OPTIONS: 
- Anna had studied so hard.
 - Lucy had studied so hard.

Output: ",lucy had studied so hard,anna had studied so hard,False,3
